iter	Logloss
440	0.03597911068
441	0.03592775063
442	0.03577811922
443	0.03563275438
444	0.03547152124
445	0.0353871145
446	0.03537558283
447	0.03527478235
448	0.03523880019
449	0.03501787702
450	0.03493581024
451	0.03483918525
452	0.03478720168
453	0.0347671719
454	0.03474540816
455	0.03460167569
456	0.03450071056
457	0.03439204248
458	0.03434370897
459	0.03427190229
460	0.03407288999
461	0.03384744804
462	0.03367363936
463	0.03347816152
464	0.033411921
465	0.03333218717
466	0.03321739946
467	0.03300734591
468	0.0328836117
469	0.03276744384
470	0.03274960689
471	0.03273319213
472	0.0326207654
473	0.0325639688
474	0.03242850676
475	0.03227382411
476	0.03221075725
477	0.03207782434
478	0.03202168979
479	0.03197194459
480	0.03188427662
481	0.0316986105
482	0.03167442273
483	0.03165126832
484	0.03151912356
485	0.03147086011
486	0.03137047648
487	0.03133439273
488	0.03119969083
489	0.03117679564
490	0.0311496549
491	0.03113250452
492	0.03106666684
493	0.03104505723
494	0.03089975544
495	0.03087811431
496	0.0306815961
497	0.03056369077
498	0.030544866
499	0.030538312
